name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Gregory Reynolds,"Gregory Reynolds is a BSc graduate with 2.9 years of experience in software development. They are proficient in technologies such as HTML, Python, Django, React. Work Highlights: - Configured and managed Kubernetes Ingress controllers for external access. - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration.",BSc,Electronics,6.38,2.9,26,0
Brian Hicks,"Brian Hicks is a M.Tech graduate with 5.8 years of experience in software development. They are proficient in technologies such as JavaScript, Java, C++, React, Django, SQL. Work Highlights: - Configured cloud firewalls and security groups to protect application endpoints. - Created serverless APIs using Azure Functions and C# for event-driven processing.",M.Tech,Information Technology,9.46,5.8,33,1
Tyler Murray,"Tyler Murray is a B.Tech graduate with 5.0 years of experience in software development. They are proficient in technologies such as CSS, React, Django, JavaScript, C++, HTML. Work Highlights: - Built a Progressive Web App (PWA) with Service Workers for offline capabilities. - Integrated third-party APIs (Stripe, Twilio) into an e-commerce platform built with Django.",B.Tech,Information Technology,7.63,5.0,33,0
Shelby Johnson,"Shelby Johnson is a MSc graduate with 4.9 years of experience in software development. They are proficient in technologies such as HTML, Django, Java. Work Highlights: - Designed and implemented a robust error reporting mechanism with Sentry. - Managed and maintained Helm charts for Kubernetes application deployments.",MSc,Information Technology,7.25,4.9,30,0
Adam Hernandez,"Adam Hernandez is a M.Tech graduate with 2.1 years of experience in software development. They are proficient in technologies such as JavaScript, C++, CSS. Work Highlights: - Implemented a responsive front-end dashboard with React and Redux, consuming data from multiple microservices. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",M.Tech,Computer Science,7.79,2.1,30,0
David Johnson,"David Johnson is a BSc graduate with 1.5 years of experience in software development. They are proficient in technologies such as SQL, CSS, Node.js, HTML. Work Highlights: - Developed a RESTful API service using Node.js and Express, supporting user authentication and data persistence with MongoDB. - Assisted in the transition from SVN to Git, providing training and support to the development team.",BSc,Computer Science,8.55,1.5,25,0
Angela Cox,"Angela Cox is a M.Tech graduate with 3.9 years of experience in software development. They are proficient in technologies such as CSS, HTML, C++, Django, Java, JavaScript. Work Highlights: - Built a data visualization tool using Python and Plotly Dash for internal reporting. - Collaborated on an Android application development using Kotlin, improving UI responsiveness.",M.Tech,Electronics,9.98,3.9,21,1
Emily Moran,"Emily Moran is a M.Tech graduate with 4.6 years of experience in software development. They are proficient in technologies such as SQL, Node.js, JavaScript, Django, React. Work Highlights: - Configured load balancers and auto-scaling groups for high-traffic web applications. - Contributed to a game engine development in C++ focusing on rendering optimizations.",M.Tech,Information Technology,9.59,4.6,32,1
Virginia Burke,"Virginia Burke is a B.Tech graduate with 0.6 years of experience in software development. They are proficient in technologies such as Django, SQL, HTML, CSS, Node.js. Work Highlights: - Optimized image delivery using WebP format and responsive image techniques. - Implemented rate limiting and API throttling for public-facing endpoints.",B.Tech,Electronics,8.42,0.6,22,0
Rhonda Hughes,"Rhonda Hughes is a M.Tech graduate with 0.2 years of experience in software development. They are proficient in technologies such as C++, Django, React. Work Highlights: - Implemented secure REST endpoints and data encryption for a healthcare application. - Developed a desktop application using C# and WPF for internal tooling.",M.Tech,Electronics,9.63,0.2,26,0
Jason Dean,"Jason Dean is a BSc graduate with 0.7 years of experience in software development. They are proficient in technologies such as HTML, CSS, Django, Java, Python. Work Highlights: - Automated infrastructure provisioning using Ansible playbooks for server setup and configuration. - Developed command-line tools in Go for internal development workflows and automation.",BSc,Information Technology,7.93,0.7,25,0
Ryan Griffin,"Ryan Griffin is a BSc graduate with 5.0 years of experience in software development. They are proficient in technologies such as CSS, HTML, Django, React. Work Highlights: - Managed package dependencies and build processes with npm and Yarn. - Developed a chatbot using natural language processing (NLP) with spaCy and Python.",BSc,Information Technology,8.43,5.0,27,0
Phillip Blankenship,"Phillip Blankenship is a B.Tech graduate with 4.8 years of experience in software development. They are proficient in technologies such as JavaScript, React, Django, Java, CSS, Python. Work Highlights: - Built a CI/CD pipeline using Jenkins and Docker for automated deployment of Python web services. - Developed custom API gateways with Kong for microservices orchestration and security.",B.Tech,Information Technology,8.33,4.8,34,1
Meghan Wolf,"Meghan Wolf is a M.Tech graduate with 3.9 years of experience in software development. They are proficient in technologies such as SQL, Java, HTML, Python. Work Highlights: - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times. - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations.",M.Tech,Electronics,6.79,3.9,33,0
Laurie Patterson,"Laurie Patterson is a BSc graduate with 2.7 years of experience in software development. They are proficient in technologies such as HTML, Java, React. Work Highlights: - Developed a GraphQL API with Apollo Server and Node.js for a new content management system. - Developed data validation and cleansing scripts in Python for a data migration project.",BSc,Information Technology,6.34,2.7,33,0
Samantha Chen,"Samantha Chen is a M.Tech graduate with 2.7 years of experience in software development. They are proficient in technologies such as CSS, Node.js, HTML, SQL, React. Work Highlights: - Implemented robust caching strategies using Memcached for frequently accessed data. - Improved build times for a large JavaScript project using Webpack optimizations.",M.Tech,Electronics,9.23,2.7,32,0
Mark Rodriguez,"Mark Rodriguez is a MSc graduate with 3.7 years of experience in software development. They are proficient in technologies such as React, Django, CSS, Java, HTML. Work Highlights: - Developed real-time bidding algorithms in Scala for an ad-tech platform. - Automated software releases using Git tags and release management tools.",MSc,Information Technology,6.13,3.7,30,0
Sharon Durham,"Sharon Durham is a MSc graduate with 5.5 years of experience in software development. They are proficient in technologies such as Java, C++, React, HTML, JavaScript, Node.js. Work Highlights: - Implemented end-to-end encryption for data at rest and in transit using TLS. - Implemented serverless functions using Google Cloud Functions for event-driven tasks.",MSc,Information Technology,9.18,5.5,32,1
Julie Ortega,"Julie Ortega is a B.Tech graduate with 4.9 years of experience in software development. They are proficient in technologies such as CSS, Python, Node.js, JavaScript. Work Highlights: - Managed and maintained Linux servers, ensuring system uptime and security. - Contributed to the design and implementation of a new database indexing strategy.",B.Tech,Electronics,8.73,4.9,27,1
Alexander Crawford,"Alexander Crawford is a B.Tech graduate with 2.5 years of experience in software development. They are proficient in technologies such as JavaScript, Django, C++, SQL. Work Highlights: - Built a data visualization tool using Python and Plotly Dash for internal reporting. - Designed and developed a user role and permission management system for an enterprise application.",B.Tech,Information Technology,6.05,2.5,29,0
